errata_header,errata_text,question,answer,applies_to
,,"When declaring the allocation order of groups in my unit I have more than one non-CHARACTER groups that contain a model with a missing wound, how must I select the order?",Those groups can be selected in an order of your choosing but must be in an order that makes them come before any non-CHARACTER groups that do not contain a model with a missing wound.,
,,"What does the X"" in Lone Operative X"" mean?","The X is a placeholder for a number of inches that the ability might appear in a rule with, like Lone Operative 15"" where the X has been replaced with 15""",
,,If a rule says a unit auto passes Desperate Escape tests does that mean it would auto pass the hazard rolls from a desperate escape move?,Yes,
,,If a unit has a rule that allows it to start an action when it is battle-shocked can it also continue doing that action if it becomes battle-shocked after starting an action?,Yes,
,,When selecting a target unit can the enemy model that is visible to my model and the enemy model that is in range of my model's weapon be different enemy models in the same unit?,Yes,
,,I have a unit being attacked with weapons that will modify some of their save rolls to be worse then 6 should I make those save rolls?,"Yes, because other models in your unit may have Sv's that are better those models you've mentioned, this means that enough save rolls could be allocated to the those models that the rest of the results are not greater then the Sv's of the other models in your unit.",
,,If a rule says my unit must make a hazard roll does every model in the unit make a hazard roll?,"No, the unit would make 1 single hazard roll.",
,,Do models destroyed when a unit is out of coherency count for mission objectives?,Yes.,
,,"If my unit has taken control of an objective at the end of my movement phase and that unit has as an ability that secures an objective they control, can they secure that objective?",Yes,
,,"If my unit has the Deadly Demise ability and has an ability that allows it to Fight on Death, how do I resolve this?","Fight on Death rules are resolved before Deadly Demise abilities, meaning that your unit's Deadly Demise will resolve after your unit has fought/at the end of the phase and the relevant models have been removed from the battlefield.",
,,"If I have a rule that says my unit can move up to 6"" when it makes a pile-in move or consolidation move, does this also mean it changes the maximum distance of those moves to 6""?",Yes,
,,"If a unit makes any disembark move in a turn (i.e. Disembark move, Emergency Disembark move etc.) has it disembarked that turn?",Yes.,
"Space Marine Chapters, Army Rules","Add the following bullet points: | ‘• If your army includes one or more **BLACK TEMPLARS** units, it cannot include any **ADEPTUS ASTARTES PSYKER** models, and cannot include any of the following models that do not have the **BLACK TEMPLARS** keyword: **GLADIATOR LANCER**; **GLADIATOR REAPER**; **GLADIATOR VALIANT**; **IMPULSOR**; **REPULSOR**; **REPULSOR EXECUTIONER**. | • If your army includes one or more **SPACE WOLVES** units, it cannot include any of the following units: **APOTHECARY**; **DEVASTATOR SQUAD**; **TACTICAL SQUAD**.’ | Add new sub-header and bullet points: | ‘**DEATHWATCH** | ■ Your army can include **ADEPTUS ASTARTES DEATHWATCH** units, but it cannot include any **ADEPTUS ASTARTES** units drawn from any other Chapter. | ■ With the exception of **Kill Team Cassius** (see Legends: Agents of the Imperium), your army cannot include any **AGENTS OF THE IMPERIUM DEATHWATCH** units. | ■ Your army cannot include any of the following units: **ASSAULT SQUAD**; **ASSAULT SQUAD WITH JUMP PACKS**; **ATTACK BIKE SQUAD**; **DEVASTATOR SQUAD**; **LAND SPEEDER STORM**; **RELIC TERMINATOR SQUAD**; **SCOUT BIKE SQUAD**; **SCOUT SQUAD**; **SCOUT SNIPER SQUAD**; **TACTICAL SQUAD**; **TERMINATOR ASSAULT SQUAD**; **TERMINATOR SQUAD**.",,,army rule: Space Marine Chapters
,,"If I use the Cults of the Dark Gods rule to add Plague Marines to my Chaos Space Marines army, does the Plague Marines’ Infused with the Blessings of Nurgle ability have any effect?",No.,army rule: Cults of the Dark Gods
Seraptek Heavy Construct abilities,"Remove 'Titanic Walker', add 'Super-heavy Walker'.",,,datasheet: Seraptek Heavy Construct
"Shadow Legion, Shade Path Stratagem","Change to: | '**WHEN**: Start of your opponent's Charge phase. | **TARGET**: One friendly **SHADOW LEGION** unit. | **EFFECT**: Select one visible enemy unit within 12"" of your unit. When that enemy unit declares a charge, that enemy unit has -1 to charge rolls. If your unit has **Nurgle**, that enemy unit must make a battle-shock roll.'",,,stratagem
"Pantheon of Woe Detachment, Singularity Matrix Enhancement, Lord of Deceit (Aura) ability","Change to: | 'Once per turn, when your opponent targets a unit from their army within 12” of this model with a **stratagem**, you can use this ability. If you do increase the CP cost of that use of that **stratagem** by 1CP.'",,,enhancement
"Helhunt Lance Detachment, Goaded Beast Stratagem, Effect Section","Change to: | ‘**EFFECT**: Your unit can make a surge move of up to D6"".",,,stratagem
"Nurgle's Gift, Contagion Range Section","Add 'Contagion Range cannot be greater than 12"" after modifiers.'",,,army rule: Nurgle’s Gift (Aura)
"Reaper's Wager Detachment, Dance Macabre Stratagem, Target Section","Change 9"" to: 8""",,,stratagem
Cult Ambush,"Change to: | ‘If your Army Faction is **GENESTEALER CULTS**, you start the battle with a number of Resurgence points, depending on the battle size, as shown below. | ■ **Incursion**: 6 Resurgence points | ■ **Strike Force**: 10 Resurgence points | ■ **Onslaught**: 14 Resurgence points | Each time a unit from your army is destroyed, if every model in that unit has this ability, you can spend the relevant number of Resurgence points shown below based on that unit’s Starting Strength. | **Aberrants** | 5 models 4 Resurgence points | 10 models 8 Resurgence points | **Acolyte Hybrids with Autopistols, Acolyte Hybrids with Hand Flamers, Hybrid Metamorphs** | 5 models 2 Resurgence points | 10 models 4 Resurgence points | **Atalan Jackals** | 5 models 2 Resurgence points | 10 models 6 Resurgence points | **Neophyte Hybrids** | 10 models 3 Resurgence points | 20 models 6 Resurgence points | **Purestrain Genestealers** | 5 models 2 Resurgence points | 10 models 6 Resurgence points | If you do: | ■ Add a new unit to your army identical to your destroyed unit, in Cult Ambush, at its Starting Strength, with all of its wounds remaining and any **[ONE SHOT]** weapons those models are equipped with considered as not having been shot. | ■ Place one Cult Ambush marker (see below) anywhere on the battlefield that is more than 9"" horizontally away from all enemy units (if this is not possible, no marker is placed). | **UNITS IN CULT AMBUSH** | Cult Ambush is a type of Strategic Reserves. Units in Cult Ambush cannot be targeted with the Rapid Ingress Stratagem, but can be set up on the battlefield using a Cult Ambush marker as described below, or by following the rules for Strategic Reserves in a subsequent turn. Units in Cult Ambush are not automically destroyed at the end of the third battle round. | **CULT AMBUSH MARKERS** | Use a circular 32mm diameter marker for Cult Ambush markers. If an enemy model (excluding **AIRCRAFT**) ends any kind of move within 8"" of a Cult Ambush marker you placed, that Cult Ambush marker is removed from the battlefield. At the end of your opponent’s next Movement phase, for each of your Cult Ambush markers still on the battlefield, you can select one unit from your army that is in Cult Ambush to make an **ingress move**. For that **ingress move**, set that unit up with at least one model in that unit in base contact with that Cult Ambush marker and all other models placed wholly within 3"" of that Cult Ambush marker (that Cult Ambush marker is then removed from the battlefield). Units in Cult Ambush can make an **ingress move** in the first battle round using this rule.'",,,army rule: Cult Ambush
"Code Chivalric, ‘We pledge to reap a great tally’ Deed","Change to: | ‘This deed is completed at the end of the battle round if the number of enemy units destroyed this battle round is greater than the battle round number even if those units are subsequently returned to the battlefield (for example, two destroyed enemy units in the first battle round).’",,,army rule: Code Chivalric
"Acastus Knight Asterius and Acastus Knight Porphyrion, Keywords Section",Add 'FRAME'.,,,datasheet: Acastus Knight Asterius; datasheet: Acastus Knight Porphyrion
"Defiler, Unleash Wrath Ability, 2nd Bullet Point","Change to: Declare a charge. This unit must end that **charge move engaged** with the enemy unit you selected (note that even if this charge is successful, this unit does not receive any Charge bonus this turn).",,,datasheet: Defiler
"Company of Hunters, Inner Circle Task Force, Unforgiven Task Force, Wrath of the Rock and Lion's Blade Task Force Detachments – Armour of Contempt Stratagem, Effect section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Army Rules, For the Greater Good","Change to: | 'If your Army Faction is **T'AU EMPIRE**, at the start of your Shooting phase you can select units from your army with this ability to become Observer units. | During your Shooting phase, for each Observer unit from your army that has not been selected to shoot this phase and is eligible to shoot (excluding FORTIFICATION and Battle-shocked units) select one enemy unit that is visible to be marked as their Spotted unit until the end of the phase. Each enemy unit can only be marked as a Spotted unit once per phase. | Units from your army with the For the Greater Good ability (excluding Observer units) are Guided units while targeting one or more Spotted units. | Until the end of the phase, each time a model from your army in a Guided unit makes an attack that targets a Spotted unit, improve the Ballistic Skill characteristic of that attack by 1 and, if the Spotted unit was marked by an Observer unit that has the Markerlight keyword, that attack has the **[IGNORES COVER]** ability.’",,,army rule: For the Greater Good
Chaos Acastus Knight Asterius and Chaos Acastus Knight Porphyrion - Keywords Section,Add 'FRAME'.,,,datasheet: Chaos Acastus Knight Asterius; datasheet: Chaos Acastus Knight Porphyrion
13.09 - Change to First Bullet Point,Change to: 'That model has the INFANTRY/BEASTS/SWARM keyword and is within a terrain area that contains one or more light/dense terrain features.',,,
Waaagh! Army Rule,"Change first paragraph to: | ‘If your Army Faction is **ORKS**, once per battle, at the start of your Command phase, you can call a Waaagh!. If you do, until the start of your next Command phase, the Waaagh! is active for your army and:’",,,army rule: Waaagh!
Tyranid Prime with Lash Whip Aggressive Leader-beast Ability,"Change to: In your opponent’s Shooting phase, when an enemy unit has shot, if a model in this unit was destroyed by those attacks, this unit can make a surge move of up to D6”.",,,datasheet: Tyranid Prime with Lash Whip
The following units have the **FRAME** keyword:,"**Aegis Defence Line, Baneblade, Banehammer, Banesword, Basilisk, Chimera, Deathstrike, Doomhammer, Hellhammer, Hellhound, Hydra, Leman Russ Battle Tank, Leman Russ Commander, Leman Russ Demolisher, Leman Russ Eradicator, Leman Russ Executioner, Leman Russ Exterminator, Leman Russ Punisher, Leman Russ Vanquisher, Manticore, Rogal Dorn Battle Tank, Rogal Dorn Commander, Shadowsword, Stormlord, Stormsword, Taurox, Taurox Prime, Valkyrie, Wyvern.**",,,
"Needgaârd Oathband Detachment, Void Hardened Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Saga of the Great Wolf Detachment, Grimnar's Mark Enhancement","Change to: | **ADEPTUS ASTARTES TERMINATOR CAPTAIN** model only. Once per battle round, you can target this unit with the **Rapid Ingress**/**Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.",,,enhancement
"AX 1-0 Tiger Shark, Manta, Ta'unar Supremacy Armour, Tiger Shark, Keywords section",Add 'FRAME'.,,,datasheet: AX-1-0 Tiger Shark; datasheet: Manta; datasheet: Ta’unar Supremacy Armour; datasheet: Tiger Shark
"Black Spear Task Force Detachment, Armour of Contempt Stratagem, Effect Section","Change to: | Effect: ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Court of the Phoenician Detachment, Catalytic Stimulus Stratagem, Effect Section","Change to: | '**EFFECT**: Your unit can make a **surge move** of up to D6"".'",,,stratagem
Grey Knights Thunderhawk Gunship,"■ **Profile**: Change **M** to 20"". | ■ **Keywords**: Remove '**AIRCRAFT**', Add '**FRAME**'.",,,datasheet: Grey Knights Thunderhawk Gunship
"Gargantuan Squiggoth, Keywords Section",Add 'FRAME'.,,,datasheet: Gargantuan Squiggoth
"Brotherhood Strike Detachment, Combat Manifestation Stratagem, Effect Section","Change 3"" to 6"".",,,stratagem
"Veiled Blade Elimination Force Detachment, Intraneural Biotech enhancement","Change to: | '**EVERSOR ASSASSIN** model only. You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,detachment
"Reaver Titan, Warbringer Nemesis Titan, Warhound Titan and Warlord Titan - Keywords section","The following units have the **FRAME** keyword: | Reaver Titan, Warbringer Nemesis Titan, Warhound Titan and Warlord Titan.",,,datasheet: Reaver Titan; datasheet: Warbringer Nemesis Titan; datasheet: Warhound Titan; datasheet: Warlord Titan
"Chaos Reaver Titan, Chaos Warbringer Nemesis Titan, Chaos Warhound Titan and Chaos Warlord Titan - Keywords section","The following units have the **FRAME** keyword: | Chaos Reaver Titan, Chaos Warbringer Nemesis Titan, Chaos Warhound Titan and Chaos Warlord Titan.",,,datasheet: Chaos Reaver Titan; datasheet: Chaos Warbringer Nemesis Titan; datasheet: Chaos Warhound Titan; datasheet: Chaos Warlord Titan
"Corsair Coterie Detachment, Archraider Enhancement, Lord of Deceit ability","Change to: | 'Once per turn, when your opponent targets a unit from their army within 12” of this model with a stratagem, you can use this ability. If you do, increase the CP cost of that use of that stratagem by 1CP.'",,,enhancement
"Acts of Faith, Gaining Miracle Dice Section","Change to: | ‘If your Army Faction is ADEPTA SORORITAS, you gain 1 Miracle dice: | ■ At the start of each battle round. | ■ Each time an ADEPTA SORORITAS unit from your army is destroyed. | Each time you gain a Miracle dice, roll one D6. The number you roll is the value of that Miracle dice. This value cannot be changed or re‑rolled, unless a rule specifically states otherwise. Keep your Miracle dice to one side – this is your Miracle dice pool.’",,,army rule: Acts of Faith
"Auric Champions Detachment, Assemblage of Might Detachment Rule","Change to: | 'At the start of your Command phase, select one unit from your opponent’s army. Until the start of your next Command phase, each time a model in an **ADEPTUS CUSTODES CHARACTER** unit from your army makes an attack that targets that enemy unit, add 1 to the Wound roll.",,,detachment
"IMPERIAL ARMOUR - Agamatus, Ares Gunship, Coronus Grav Carrier, Orion Assault Dropship, Caladius Grav-tank and Pallas Grav Attack","Add FRAME to the following: | Agamatus, Ares Gunship, Coronus Grav Carrier, Orion Assault Dropship, Caladius Grav-tank and Pallas Grav Attack",,,datasheet: Agamatus Custodians; datasheet: Ares Gunship; datasheet: Caladius Grav-tank; datasheet: Coronus Grav-carrier; datasheet: Orion Assault Dropship; datasheet: Pallas Grav-attack
"Haloscreed Battle Clade Detachment, Transoracular Dyad Wafers Enhancement","Change to: | 'Cybernetica Datasmith model only. When the bearer is attached to a Kastelan Robots unit, until the end of the battle, models in that unit gain the Halo Override keyword. That unit cannot be selected when selecting units as part of the Noospheric Transference Detachment rule.'",,,enhancement
"Gladiator Lancer, Gladiator Reaper, Gladiator Valiant, Impulsor, Land Raider Crusader, Repulsor, Repulsor Executioner – Keywords section",Add 'FRAME'.,,,datasheet: Gladiator Lancer; datasheet: Gladiator Reaper; datasheet: Gladiator Valiant; datasheet: Impulsor; datasheet: Land Raider Crusader; datasheet: Repulsor; datasheet: Repulsor Executioner
"Angelic Inheritors, Rage-cursed Onslaught, The Angelic Host, The Lost Brethren, Liberator Assault Group Detachments – Armour of Contempt Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Astraeus, Thunderhawk Gunship, Keywords Section",Add 'FRAME'.,,,datasheet: Astraeus; datasheet: Thunderhawk Gunship
"Warpforged Cabal Detachment, Ensorcelled Infusion Stratagem, CP Cost",Change to '2CP'.,,,stratagem
"Warpforged Cabal Detachment, Hex-marked Armour Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Shadow Legion detachment, Penumbral Puppetry detachment rule","Change to: | '**SHADOW LEGION TZEENTCH** units only. This unit has **Stealth**. Each time a melee attack targets this unit, subtract 1 from the Hit roll.'",,,detachment
"Oath of Moment, Army Rules","Change to: | ‘If your Army Faction is **ADEPTUS ASTARTES**, at the start of your Command phase, select one unit from your opponent’s army. Until the start of your next Command phase, that enemy unit is your Oath of Moment target. Each time a model with this ability makes an attack that targets your Oath of Moment target: | ■ You can re-roll the Hit roll. | ■ If you are using a *Codex: Space Marines* Detachment and your army does not include one or more units with the **BLOOD ANGELS**, **DARK ANGELS**, **DEATHWATCH** or **SPACE WOLVES** keywords, add 1 to the Wound roll as well.’",,,army rule: Oath of Moment
,,"When using the Soul Link Enhancement, can I select a **CHARACTER** model from my army that is not on the battlefield?",Yes.,enhancement
"Ordo Malleus Daemon Hunters Detachment, Truesilver Armour Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Blitz Brigade Detachment, Yooz In Trouble Now Stratagem, Effect Section","Change to: | ‘Effect: Your unit can make a **surge move** of up to D6"".'",,,stratagem
"Valourstrike Lance Detachment, Tactical Foil Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
"Cursed Legion Detachment, Cursed Circlet Enhancement","Change to: | '**DESTROYER CULT** model only. In your opponent’s Shooting phase, when an enemy unit has shot, if a model in this unit was **destroyed** by those attacks, this unit can make a **surge move** of up to D6”.'",,,enhancement
"Helhunt Lance Detachment, Beasthide Manifestation Stratagem, Effect Section","Change to: | 'Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
Army Rule Section,"Add the following: | ‘**Corsairs and Travelling Players** | If your Army Faction is **DRUKHARI**, you can include **HARLEQUINS** and **ANHRATHE** units in your army, even though they do not have the **DRUKHARI** Faction keyword. The combined points value of **HARLEQUINS** and/or **ANHRATHE** units you can include in your army depends on the battle size, as follows: | ■ **Incursion**: Up to 250 pts | ■ **Strike Force**: Up to 500 pts | ■ **Onslaught**: Up to 750 pts | No **HARLEQUINS** or **ANHRATHE** models included in your army in this way can be your **WARLORD**, and they cannot be given Enhancements.’",,,army rule: Corsairs and Travelling Players
"Armiger Moirax, Protection Protocols ability","Change to: | 'You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,datasheet: Armiger Moirax
"Blessings of Khorne, Unbridled Bloodlust",Change to: | 'This unit has +1 to **charge rolls**.',,,army rule: Blessings of Khorne
"Land Speeder Vengeance, Ravenwing Darkshroud, Sammael – Keywords Section",Add '**FRAME**'.,,,datasheet: Land Speeder Vengeance; datasheet: Ravenwing Darkshroud; datasheet: Sammael
"Kauyon Detachment, Patient Hunter Detachment Rule","Change to: | 'During the third, fourth and fifth battle rounds, ranged weapons equipped by **T'AU EMPIRE** models from your army have the **[SUSTAINED HITS 1]** ability. During the third, fourth and fifth battle rounds, while a unit is a Guided unit (see For the Greater Good), each time a ranged attack is made by a model in that unit that targets a Spotted unit, you can ignore any or all modifiers to that attack’s Ballistic skill characteristics and/or all modifiers to the Hit roll.'",,,detachment
"Commissar Yarrick, Counterstrategist Ability, 3rd Bullet Point","Change to: | Declare a charge. That Regiment unit must end that **charge move engaged** with the enemy unit you selected (note that even if this charge is successful, the charging unit does not receive any Charge bonus this turn).",,,datasheet: Commissar Yarrick
17.03 - Change to First Sentence,Add the following to the first sentence: '(excluding attacks made with [BLAST] weapons)'.,,,
Hyperadapted Raveners Hypersensory Array Ability,"Change to: | 'Once per battle round, you can target this unit with the **Rapid Ingress**/**Heroic Intervention** **stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,datasheet: Hyperadapted Raveners
"Saga of the Beastslayer Detachment, Legendary Slayers Detachment Rule","Change to: | 'At the start of the first battle round, your Beastslayer tally is 0, and you determine your Beastslayer target by halving the number of units from your opponent’s army (including those embarked within **TRANSPORTS**) that have one or more of the following keywords (rounding up): **CHARACTER**, **MONSTER**, **VEHICLE**.’",,,detachment
"Nurgle's Gift, Skullsquirm Blight","Change to: | ‘Each time a model in this unit makes a melee attack, subtract 1 from the Hit roll.’",,,army rule: Nurgle’s Gift (Aura)
Corvus Blackstar - Keywords Section,Add 'FRAME'.,,,datasheet: Corvus Blackstar
"Coterie of the Conceited Detachment, Armour of Abhorrence Stratagem, Effect Section","Change to: | **Effect**: ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
Tiger Shark,■ **Core Abilities**: Remove 'Hover'. | ■ **Profile**: Change **M** and **OC** to '-'.,,,datasheet: Tiger Shark
"Corsair Coterie Detachment, Vengeful Sorrow Stratagem, Effect Section","Change to: | **EFFECT**: Your unit can make a surge move of up to D6+1""",,,stratagem
"Bringers of Flame Detachment, Fervent Purgation Detachment Rule","Change to: | 'Ranged weapons equipped by ADEPTA SORORITAS models from your army have the [ASSAULT] ability, and each time an attack made with such a weapon targets a unit within 6"", add 1 to the Strength characteristic of that attack.’",,,detachment
"Auric Champions Detachment, Champion of the Imperium Enhancement","Change to: | '**ADEPTUS CUSTODES** model only. The range of the bearer’s Null Aegis or Deadly Unity ability is increased to 9"".'",,,enhancement
IMPERIAL ARMOUR - Orion Assault Dropship,"The following unit has M 14"": | Orion Assault Dropship",,,datasheet: Orion Assault Dropship
"Analytical Divination Stratagem, Target Section","Change 9"" to: 8""",,,stratagem
"Abhor the Witch, Destroy the Witch Templar Vow","Change to: | - This unit’s melee attacks that target a **PSYKER** unit have **[PRECISION]**. | - When this unit **declares a charge**, If an enemy **PSYKER** unit is within 12"" of this unit, you can use this part of this ability. If you do: | - This unit can re-roll that **charge roll**. | - This unit must end that **charge move engaged** with one or more of those enemy **PSYKER** units.",,,army rule: Templar Vows
"Death Company Captain, Death Company Captain with Jump Pack, Death Company Marines, Death Company Marines with Bolt Rifles, Death Company Marines with Jump Packs, Death Company Dreadnought – Black Rage ability","Change to: | 'Each time a model in this unit makes a melee attack, you can re‑roll the Hit roll. While this unit is not within 6"" of one or more friendly **BLOOD ANGELS CHARACTER** models, or not within 12"" of one or more friendly **CHAPLAIN** models, it cannot be selected to Fall Back and its Objective Control characteristic is 0.’",,,datasheet: Death Company Captain; datasheet: Death Company Captain with Jump Pack; datasheet: Death Company Dreadnought; datasheet: Death Company Marines; datasheet: Death Company Marines with Bolt Rifles; datasheet: Death Company Marines with Jump Packs
"Hallowed Conclave Detachment, Eye of the Augurium Enhancement","Change to: | '**GREY KNIGHTS** model only. You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,enhancement
"Needgaârd Oathband Detachment, Reactive Reprisal Stratagem, Effect Section","Change to: | ‘Your unit can shoot as if it were your Shooting phase, can only target that enemy unit when doing so, and can only do so if that enemy unit is an eligible target.’",,,stratagem
"War Dog Moirax, Protection Protocols ability","Change to: | 'You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that stratagem on other units this phase.'",,,datasheet: War Dog Moirax
"Final Day Detachment, Divine Imperative Stratagem","Change to: | **WHEN**: Your Charge phase, when a friendly **GENESTEALER CULTS** unit within 12"" of a friendly engaged **TYRANIDS** unit declares a charge. | **TARGET**: That GENESTEALER CULTS unit. | **EFFECT**: | - Your unit has +1 to **charge rolls**. | - You can use this part of this **stratagem**. If you do: | - Your unit can re-roll **charge rolls**. | - Your unit must end that **charge move** **engaged** with an enemy unit **engaged** with that friendly **TYRANIDS** unit.",,,stratagem
,,Can I select a unit to shoot when there are no eligible targets so that unit can make a Dark Pact?,No.,army rule: Dark Pacts
"Land Raider, Land Raider Crusader, Land Raider Redeemer, Razorback, Rhino, Stormhawk Interceptor, Stormraven Gunship, and Stormtalon Gunship – Keywords Section",Add 'FRAME'.,,,datasheet: Land Raider; datasheet: Land Raider Crusader; datasheet: Land Raider Redeemer; datasheet: Razorback; datasheet: Rhino; datasheet: Stormhawk Interceptor; datasheet: Stormraven Gunship; datasheet: Stormtalon Gunship
"Chaos Land Raider, Chaos Predator Annihilator, Chaos Predator Destructor, Chaos Rhino and Chaos Vindicator – Keywords Section",Add 'FRAME'.,,,datasheet: Chaos Land Raider; datasheet: Chaos Predator Annihilator; datasheet: Chaos Predator Destructor; datasheet: Chaos Rhino; datasheet: Chaos Vindicator
"Blood Legion Detachment, Murdercall Detachment Rule","Change to: | 'In your opponent's movement phase, each time an enemy unit (excluding **AIRCRAFT**) ends a move within 8"" of one or more **LEGIONES DAEMONICA** **KHORNE** units from your army, one of those **LEGIONES DAEMONICA KHORNE** units can make a surge move of up to D6"".'",,,detachment
"Biosantic Broodsurge Detachment, Predatory Instincts Enhancement","Change to: | '**ABOMINANT**, **BIOPHAGUS** or **PATRIARCH** model only. | - Models in the bearer's unit have the Infiltrators ability. | - You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | - That use is -1 CP. | - That use does not prevent any uses of that **stratagem** on other units this phase.'",,,enhancement
"Ordo Malleus Daemon Hunters Detachment, Gift of the Prescient Enhancement","Change 3"" to 6"".",,,enhancement
"Valourstrike Lance Detachment, Bold Gallantry Detachment Rule","Change to: | ‘Each time an **IMPERIAL KNIGHTS** unit from your army Advances, until the end of the turn, ranged weapons equipped by **IMPERIAL KNIGHTS** models from your army have the **[ASSAULT]** ability.’",,,detachment
"Bully Boyz Detachment, Hulking Brutes Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Annihilation Legion Detachment, Annihilation Protocol Detachment Rule","Add the following paragraph: | ‘Each time a **DESTROYER CULT** unit from your army makes a ranged attack that targets the closest eligible target, add 1 to the Armour Penetration characteristic of that attack.’",,,detachment
"Iconoclast Fiefdom Detachment, Preserve the Idols Stratagem, Target Section","Change 9"" to: 8""",,,
