type,name,detail
primary,Uphold Your Vows,"A vow once sworn must be fulfilled. Confront the foe, drive them back and take the heads of their leaders. Only then will the God-Emperor offer you his blessings."
primary,Honour the Chapter,"Seize your objectives and let no opponent drive you from them. Win a glorious victory this day and, by doing so, uphold the Chapter's honour."
primary,Seize their Strongholds,"Praise the enemies of the Emperor from their bolt holes and bastions, seize their vacated positions and subject them to the pitiless judgement of the Unforgiven."
primary,Slay the Oppressors,"The Day of Ascension is almost upon us. You must prepare the way for its arrival. Ride forth, drive the oppressors back and slay their commander."
primary,Outflank and Encircle,"Agility and speed: these are the hallmarks of the Asuryani warhost. Use them to your advantage, outflank the foe and seize what is rightfully yours."
primary,Duff 'em Up!,Deez gitz fink dey'z better'n us Orks. Give 'em a krumpin' dey won't forget!
primary,Encircle and Destroy,"Warriors of Fenris! The foe taunts us with their presence. We shall give them the battle they desire, but on our terms. Surround them, cut off their routes of retreat and then, when their fate is sealed, rip their beating hearts from their chests."
primary,Surveil the Foe,Information is power. Evaluate the strengths and weaknesses of the enemy and feed this crucial information back to your superiors.
secondary,Bring It Down,"WHEN DRAWN: If there are no enemy models with a **W** of 10 or more on the battlefield, you can discard this card and draw one new **Secondary Mission** card."
secondary,Outflank,**Designer’s Note:** Opposite battlefield edges are those parallel to each other.
secondary,Engage On All Fronts,"If one or more friendly units (excluding **AIRCRAFT** and **battle‑shocked** units) are wholly within a table quarter, and those units are not within 6"" of the centre of the battlefield, you have a **presence** in that table quarter."
secondary,Plunder,"**WHEN DRAWN:** If the Cleanse **Secondary Mission** is active for you, you can draw one new **Secondary Mission** card and shuffle this card back into your **Secondary Mission** deck."
secondary,Beacon,**WHEN DRAWN:** Select one friendly unit on the battlefield or embarked within a **TRANSPORT** on the battlefield to be your **beacon** unit.
secondary,Forward Position,"**WHEN DRAWN:** If it is the first battle round, you can draw one new **Secondary Mission** card and shuffle this card back into your **Secondary** **Mission** deck."
secondary,Assassination,
secondary,Display of Might,
secondary,Burden Of Trust,"**WHEN DRAWN/START OF YOUR TURN:** For each **objective**, you can select one friendly unit on the battlefield to **guard** that **objective**. Until the start of your next turn, while that unit is within range of that **objective** and while you control that **objective**, that **objective** is **guarded** by your army."
secondary,Centre Ground,
secondary,Secure No Man's Land,
secondary,Cleanse,"**WHEN DRAWN:** If the Plunder **Secondary Mission** is active for you, you can draw one new **Secondary Mission** card and shuffle this card back into your **Secondary Mission** deck."
secondary,A Grievous Blow,"**WHEN DRAWN:** If there are no enemy units with a **starting strength** of 13+ on the battlefield, you can discard this card and draw one new **Secondary Mission** card."
secondary,No Prisoners,
secondary,Overwhelming Force,
secondary,A Tempting Target,**WHEN DRAWN:** Your opponent selects one **objective** (excluding **home objectives**) within No Man’s Land to be your **tempting target**.
secondary,Behind Enemy Lines,"**WHEN DRAWN:** If it is the first battle round, you can draw one new **Secondary Mission** card and shuffle this card back into your **Secondary** **Mission** deck."
secondary,Defend Stronghold,"**WHEN DRAWN:** If it is the first battle round, draw one new **Secondary Mission** card and shuffle this card back into your **Secondary Mission** deck."
deployment,Hammer and Anvil,
deployment,Crucible Of Battle,
deployment,Sweeping Engagement,
deployment,Dawn Of War,
deployment,Tipping Point,
deployment,Search and Destroy,
deployment,Combat Patrol Deployment 1,
deployment,Combat Patrol Deployment 2,
deployment,Combat Patrol Deployment 3,
layout,Mission Layout,
layout,Take and Hold / Take and Hold - Layout A,
layout,Take and Hold / Take and Hold - Layout B,
layout,Take and Hold / Take and Hold - Layout C,
layout,Take and Hold / Purge the Foe - Layout A,
layout,Take and Hold / Purge the Foe - Layout B,
layout,Take and Hold / Purge the Foe - Layout C,
layout,Take and Hold / Disruption - Layout A,
layout,Take and Hold / Disruption - Layout B,
layout,Take and Hold / Disruption - Layout C,
layout,Take and Hold / Priority Assets - Layout A,
layout,Take and Hold / Priority Assets - Layout B,
layout,Take and Hold / Priority Assets - Layout C,
layout,Purge the Foe / Purge the Foe - Layout A,
layout,Purge the Foe / Purge the Foe - Layout B,
layout,Purge the Foe / Purge the Foe - Layout C,
layout,Purge the Foe / Disruption - Layout A,
layout,Purge the Foe / Disruption - Layout B,
layout,Purge the Foe / Disruption - Layout C,
layout,Purge the Foe / Reconnaissance - Layout A,
layout,Purge the Foe / Reconnaissance - Layout B,
layout,Purge the Foe / Reconnaissance - Layout C,
layout,Purge the Foe / Priority Assets - Layout A,
layout,Purge the Foe / Priority Assets - Layout B,
layout,Purge the Foe / Priority Assets - Layout C,
layout,Disruption / Disruption - Layout A,
layout,Disruption / Disruption - Layout B,
layout,Disruption / Disruption - Layout C,
layout,Disruption / Reconnaissance - Layout A,
layout,Disruption / Priority Assets - Layout A,
layout,Disruption / Priority Assets - Layout B,
layout,Disruption / Priority Assets - Layout C,
layout,Reconnaissance / Reconnaissance - Layout A,
layout,Reconnaissance / Reconnaissance - Layout B,
layout,Reconnaissance / Reconnaissance - Layout C,
layout,Reconnaissance / Priority Assets - Layout A,
layout,Reconnaissance / Priority Assets - Layout B,
layout,Reconnaissance / Priority Assets - Layout C,
layout,Priority Assets / Priority Assets - Layout A,
layout,Priority Assets / Priority Assets - Layout B,
layout,Priority Assets / Priority Assets - Layout C,
layout,Take and Hold / Reconnaissance - Layout B,
layout,Disruption / Reconnaissance - Layout C,
layout,Disruption / Reconnaissance - Layout B,
layout,Take and Hold / Reconnaissance - Layout A,
layout,Take and Hold / Reconnaissance - Layout C,
preset,Map 1,
preset,Map 2,
preset,Map 3,
preset,Take and Hold/Take and Hold - Layout A,
preset,Take and Hold/Take and Hold - Layout B,
preset,Take and Hold/Take and Hold - Layout C,
preset,Take and Hold/Purge the Foe - Layout A,
preset,Take and Hold/Purge the Foe - Layout B,
preset,Take and Hold/Purge the Foe - Layout C,
preset,Take and Hold/Disruption - Layout A,
preset,Take and Hold/Disruption - Layout B,
preset,Take and Hold/Disruption - Layout C,
preset,Take and Hold/Reconnaissance - Layout A,
preset,Take and Hold/Reconnaissance - Layout B,
preset,Take and Hold/Reconnaissance - Layout C,
preset,Take and Hold/Priority Assets - Layout A,
preset,Take and Hold/Priority Assets - Layout B,
preset,Take and Hold/Priority Assets - Layout C,
preset,Purge the Foe/Purge the Foe - Layout A,
preset,Purge the Foe/Purge the Foe - Layout B,
preset,Purge the Foe/Purge the Foe - Layout C,
preset,Purge the Foe/Disruption - Layout A,
preset,Purge the Foe/Disruption - Layout B,
preset,Purge the Foe/Disruption - Layout C,
preset,Purge the Foe/Reconnaissance - Layout A,
preset,Purge the Foe/Reconnaissance - Layout B,
preset,Purge the Foe/Reconnaissance - Layout C,
preset,Purge the Foe/Priority Assets - Layout A,
preset,Purge the Foe/Priority Assets - Layout B,
preset,Purge the Foe/Priority Assets - Layout C,
preset,Disruption/Disruption - Layout A,
preset,Disruption/Disruption - Layout B,
preset,Disruption/Disruption - Layout C,
preset,Disruption/Reconnaissance - Layout A,
preset,Disruption/Reconnaissance - Layout B,
preset,Disruption/Reconnaissance - Layout C,
preset,Disruption/Priority Assets - Layout A,
preset,Disruption/Priority Assets - Layout B,
preset,Disruption/Priority Assets - Layout C,
preset,Reconnaissance/Reconnaissance - Layout A,
preset,Reconnaissance/Reconnaissance - Layout B,
preset,Reconnaissance/Reconnaissance - Layout C,
preset,Reconnaissance/Priority Assets - Layout A,
preset,Reconnaissance/Priority Assets - Layout B,
preset,Reconnaissance/Priority Assets - Layout C,
preset,Priority Assets/Priority Assets - Layout A,
preset,Priority Assets/Priority Assets - Layout B,
preset,Priority Assets/Priority Assets - Layout C,
force_disposition,Take and Hold,
force_disposition,Disruption,
force_disposition,Priority Assets,
force_disposition,Purge the Foe,
force_disposition,Reconnaissance,
