section,container,subtitle,type,title,text
01. Core Concepts,Measuring Distances,01.04,accordion,01.04.03 - As Close As Possible,"If a rule instructs you to move a model as close as possible to a unit or model you must end that model’s move in base contact with that unit or model if its move is sufficient to do so without breaking any other restrictions (such as coherency), or as close as you can achieve if its move is not sufficient. | - If a model is already as close as possible to a unit or model when it is instructed to make a move as close as possible towards a unit or model, that model cannot be moved, but still counts as having made the move in question. | If a rule instructs you to move a model as close as possible to an objective you must end that model’s move within range of an objective if its move is sufficient to do so without breaking any other restrictions (such as coherency), or as close as you can achieve if its move is not sufficient. | - If that model is already within range of an objective it can move up to the maximum distance of that move but must end its move still within range of that objective."
01. Core Concepts,Measuring Distances,01.04,accordion,01.04.04 - Base Contact or Base to Base Contact,"When two models’ bases are touching, they are in base contact – also known as base-to-base contact – and are as close as possible (01.04.03). | When moving a model from your army into base contact with an enemy model during a move, if that enemy model overhangs its base such that it is not physically possible to be in base contact with that model, until the end of the turn, those models are considered to be in base contact with each other while all of the following are true: | - The distance your model could move was sufficient to move it into base contact with the enemy model if there was no overhang. | - The models are as close as possible together. | - Any part of one model is within 1"" of any part of the other model."
01. Core Concepts,Dice,01.05,text,,"You will require some six-sided dice (often abbreviated to D6). There are many ways dice rolls are referred to, including: | - 2+, 3+, and so on: 2+ means a result of 2 or more, 3+ means a result of 3 or more, and so on. | - 1-3, 4-6, and so on: Any result within the specified range will interact with the rule stated. | - 2D6, 3D6, and so on: Roll the stated number of D6 and add the individual values together (e.g. to roll 2D6, roll two D6 and add the values together). | - D3: Roll one D6 and halve the result (rounding up). | - D6+1, 2D6+3, and so on: Roll the stated number of dice and add the stated value to the result."
01. Core Concepts,Dice,01.05,accordion,01.05.01 - Automatically Successful/Passes/Hits/Wounds,"When a dice roll or test is automatically successful or automatically passes/hits/wounds, do not roll the dice and instead move to the next step of the sequence for that roll as if the required result had been rolled. Any rules that take effect on a particular dice result or roll result do not take effect. | Example: If a hit roll is automatically successful, move straight to the Wound Rolls step for that attack. Such a hit roll is not a critical hit. | Example: If a wound roll is automatically successful, move straight to the Save Rolls step for that attack. Such a wound roll is not a critical wound."
01. Core Concepts,Dice,01.05,accordion,01.05.02 - Re-rolls,"Some rules allow you to re-roll a dice roll, which means you get to roll some or all of the dice again. When a rule lets you re-roll one or more dice, the following points apply: | - If a rule allows you to re-roll a dice roll that was made by adding several dice together (e.g. 2D6, 3D6, etc.) then you must re-roll all of those dice again. | - You can never re-roll a dice more than once, and re-rolls happen before modifiers (if any) are applied. | - A re-rolled dice is still considered to be a dice roll and, as such, any rules that can be triggered by a dice roll can also be triggered by a re-rolled dice."
01. Core Concepts,Dice,01.05,accordion,01.05.03 - Modifying Dice Rolls,See Modifiers (02.02.01).
01. Core Concepts,Dice,01.05,accordion,01.05.04 - Ignoring Roll Modifiers,See Ignore Modifiers (02.02.02)
01. Core Concepts,Dice,01.05,accordion,01.05.05 - Roll Off,"Some rules instruct players to roll off. | - To do so, both players roll one D6, and whoever rolls highest wins the roll-off. | - If there is a tie for the highest roll, roll off again."
01. Core Concepts,Dice,01.05,accordion,01.05.06 - Doubles Or Triples,"When making a dice roll, a double is a roll that includes any two dice of the same result, and a triple is a roll that includes any three dice of the same result."
01. Core Concepts,Dice,01.05,accordion,01.05.07 - Highest or Lowest Dice Result,"If a rule refers to the highest dice result and a dice roll involves multiple dice, if more than one of those dice have the same value, and that value is the highest, the active player must select one of those dice to be the highest dice result. | If a rule refers to the lowest dice result and a dice roll involves multiple dice, if more than one of those dice have the same value, and that value is the lowest, the active player must select one of those dice to be the lowest dice result."
01. Core Concepts,Dice,01.05,accordion,"01.05.08 - Treated As, Set To (Dice Roll)","When a dice result is ‘treated as’ or 'set' to another value, any rules that would take effect if that value had been rolled take effect. | This may result in a value that is greater than a value that could be rolled on a D6 dice."
01. Core Concepts,Leadership Rolls,01.06,text,,"To make a leadership roll for a unit, its controlling player rolls 2D6: if the result is equal to or greater than one or more of the Ld characteristics in that unit, that roll succeeds. Otherwise, that roll fails. The rule that instructed you to make that leadership roll will describe the effects of that roll succeeding or failing."
01. Core Concepts,Leadership Rolls,01.06,accordion,01.06.01 - Leadership Test,"Some rules may use the term Leadership test, this is the same as leadership roll."
01. Core Concepts,Battle-shock Rolls,01.07,text,,"To make a battle-shock roll for a unit, its controlling player makes a leadership roll for it (01.06). | - If that roll succeeds, that unit does not become battle-shocked. | - If that roll fails, that unit, and each model in it, is battle-shocked. | While a unit is battle-shocked: | - The Objective Control (OC) characteristic of all of its models is modified to ‘-’ (02.02). | - Its controlling player cannot target that unit with stratagems (15). | - It is not eligible to start an action (16), and any action it has started cannot be completed."
01. Core Concepts,Battle-shock Rolls,01.07,accordion,01.07.01 - Battlefield Morale,"The morale and organisation of troops can waver and break during battle. This is checked using battle-shock rolls, most commonly in the Command phase. Failing such a roll represents the unit’s courage faltering due to taking casualties or through other disruption, reducing its battlefield effectiveness. Similarly, some rules will require you to check a unit’s readiness by making a leadership roll."
01. Core Concepts,Battle-shock Rolls,01.07,accordion,01.07.02 - Battle-shock Test,The term Battle-shock test is the same as battle-shock roll.
Event Companion,INTRODUCTION,,text,,"Welcome to the Warhammer Event Companion! This document is designed to help you run and play in organised events, from local leagues to the world championships. It uses the most recent Chapter Approved Mission Deck to create the best experiences for all hobbyists. | Within this companion, you’ll find a ready-made framework for levelling the playing field and getting games underway quickly. Its recommendations will be followed in full at most Games Workshop Warhammer Events, and are considered the official way to play Warhammer 40,000 in an event setting, but can be adapted to suit your own circumstances. | The recommendations are presented as follows: | Warhammer Event Mission Sequence: Adjustments to the steps players would normally follow to generate a mission and prepare the battlefield. | Chapter Approved Mission Deck Errata & FAQs: Updates to certain cards and answers to frequently asked questions. | Pairings and Rankings: Advice for fairly pairing players and determining rankings. | Terrain Layouts: A suite of carefully designed terrain setups to be used in conjunction with the Chapter Approved Mission Deck. | Base Size Guide: The most up-to-date base sizes appropriate for all Warhammer 40,000 models that can be used in Warhammer Events. | Designer’s Note: This companion does not use the full contents of the Chapter Approved Mission Deck; it has been written to provide the best experience in a Warhammer Event. For this reason we have not included the Deployment or Twist cards, which are left for pick-up-and-play games. | This companion does not include rules and recommendations for doubles, teams or Dominatus Warhammer Events. These can be found on warhammer-community.com ."
Event Companion,WARHAMMER EVENT MISSION SEQUENCE,,text,,"Before attending a Warhammer Event, each player completes the following step:"
Event Companion,1. MUSTER ARMIES,,text,,"Muster armies as described in the Warhammer 40,000 app, with the following exception: once they have mustered their army, a player selects one Force Disposition card available to them and records that on their roster. | A Warhammer Event battle is then waged by completing the remaining steps below:"
Event Companion,2.  DETERMINE MISSION,,text,,"Each player finds their opponent’s Force Disposition symbol on their Force Disposition card. The Primary Mission that is listed below that symbol is that player’s Primary Mission, which describes how to score VP."
Event Companion,3. DETERMINE A LAYOUT,,text,,"Each combination of Primary Missions has three recommended layouts, labelled A, B and C. These can be found in the Warhammer 40,000 app and at the end of this companion. As directed by the Warhammer Event organiser, the players either use the layout specified or randomly determine which of these layouts to use."
Event Companion,4. CREATE THE BATTLEFIELD,,text,,"Missions are played on rectangular battlefields 44"" by 60"" in size. Players set up the terrain areas as shown in the selected layout, then set up terrain features on those terrain areas as shown in the selected layout."
Event Companion,5. DETERMINE ATTACKER AND DEFENDER,,text,,Players look at the selected layout and agree which edges of the battlefield the players have set up correspond with the Attacker’s and Defender’s battlefield edges labelled on the card. Roll off: the winner decides who will be the Attacker and who will be the Defender.
Event Companion,6. SELECT SECONDARY MISSIONS,,text,,"Secondary Mission cards detail additional ways to score VP. Players now secretly note down whether they will use Tactical or Fixed Secondary Missions. If using Fixed Missions, they also note down which two Fixed Missions they will use (see below). Players then reveal these decisions."
Event Companion,FIXED MISSIONS,,text,,"Fixed Missions are those marked with the symbol shown on the left. If you are using Fixed Missions, display your selected Fixed Mission cards face-up. Fixed Missions cannot be discarded and are active for you throughout the battle."
Event Companion,TACTICAL MISSIONS,,text,,"If you are using Tactical Missions, shuffle your Secondary Mission deck face-down. | At the start of your Command phase, draw two Secondary Missions face-up from your Secondary Missions deck; these Secondary Missions are active for you. | (Once per battle) At the end of your Command phase, you can spend 1CP to discard one of your active Secondary Mission cards and draw one new Secondary Mission card."
Event Companion,ACHIEVING SECONDARY MISSIONS,,text,,"At the end of each player’s turn, each player does the following, starting with the player whose turn it is: | First, if you met the conditions on one or more Secondary Missions, you can gain the VP specified on that card. If you do, and if you are using Tactical Secondary Missions, discard that Secondary Mission – it is achieved. | Then, if it is your turn and you are using Tactical Secondary Missions, you can discard one or more of your active Secondary Missions. If you do, you gain 1CP."
Event Companion,7. DECLARE BATTLE FORMATIONS,,text,,"Players secretly note down, in order: | Which of their units will start the battle embarked within which TRANSPORTS . | Which of their units will start the battle in strategic reserves . | Players then reveal these decisions."
Event Companion,8. DEPLOY ARMIES,,text,,"Players take it in turns to set up their units (excluding those in strategic reserves ) one at a time, wholly within their deployment zone, starting with the Defender. If you set up a TITANIC unit when it is your turn to set up a unit, skip your next turn to set up a unit. Once you have finished setting up your units, if your opponent has any units that have not been set up, they set up those units."
Event Companion,9. REDEPLOY UNITS,,text,,"Some rules let you redeploy certain units after both armies are deployed. Unless otherwise stated, you resolve those rules in this step. Players alternate resolving any such rules, starting with the Attacker. Units placed in strategic reserves in this step do not count towards the combined points value of your strategic reserves units."
Event Companion,10. DETERMINE FIRST TURN,,text,,Roll off: the winner takes the first turn.
Event Companion,11. RESOLVE PRE-BATTLE RULES,,text,,"Players alternate resolving any pre-battle rules units from their army may have, starting with the player who will take the first turn."
Event Companion,12. BEGIN THE BATTLE,,text,,The first battle round begins.
Event Companion,13. END THE BATTLE,,text,,"The battle ends after five battle rounds have been completed. Even if you have no models remaining in your army at the start of your turn, players continue to play out their turns until the battle ends."
Event Companion,14. DETERMINE VICTOR,,text,,"Each player scores 10VP if their army is painted to a Battle Ready standard. At the end of the battle, the player with the most VP is the victor. If the players are tied, the battle is a draw. The maximum VP that can be scored from each source of VP is listed below. Any VP you score in excess of these maximums are ignored. | VP SOURCE | MAXIMUM VP | PRIMARY MISSION | 45VP | Up to 15VP per battle round | SECONDARY MISSIONS | 45VP | Up to 15VP per battle round* | BATTLE READY ARMY | 10VP | * In addition, you can gain a maximum of 20VP per Fixed Secondary Mission card."
Event Companion,‘CUMULATIVE’ AND ‘OR’ CONDITIONS,,text,,"Some cards include a condition marked as ‘cumulative’ that follows a normal condition. If a player achieves the cumulative condition, they gain the VP for both that and the normal condition. | Some cards include one or more conditions marked ‘or’ that follow a normal condition. A player can only gain VP for one of these conditions or the normal condition."
Event Companion,LEAVES THE BATTELEFIELD,,text,,"Some cards refer to a unit or units leaving the battlefield. A unit leaves the battlefield if it is destroyed, if it embarks on a TRANSPORT , or if a rule removes that unit from the battlefield (e.g. to place it in strategic reserves )."
Event Companion,ONE,,text,,"When a card states ‘one’, underlined, it means exactly one, not one or more."
Event Companion,VP UP TO A LIMIT,,text,,"Some cards award VP up to a limit, e.g. (up to 5VP). In such cases, any VP you score in excess of this limit are ignored."
Event Companion,WHEN DRAWN,,text,,Some Secondary Mission cards begin with a ‘When Drawn’ section. Note that this section only applies if you are using Tactical Secondary Missions.
Event Companion,CHAPTER APPROVED MISSION DECK,,text,,"ERRATA AND FAQs | When playing in a Warhammer Event Mission, the following amendments to cards in the Chapter Approved Mission Deck are used. | None. | Questions about the Chapter Approved Mission Deck will be reviewed periodically and answered below. Newly added entries are marked in red. | Q: Some Primary Mission cards let a player place operation markers on the battlefield. Can I remove these? | A: Your Primary Mission card will specify how and when you can remove operation markers from the battlefield. If it doesn’t, you cannot remove operation markers. | Q: For the Death Trap Primary Mission, one objective reads ‘One or more enemy units that started the turn within a terrain area were destroyed, if that terrain area is trapped.’ Does that terrain area have to have been trapped at the point that enemy unit was destroyed? | A: No. | Q: For the Surveil the Foe Primary Mission, one objective reads ‘One or more enemy units were surveilled this turn, unless each of those units is within range of one or more objectives that have one or more operation markers within range of them.’ For an enemy unit within range of an objective with an operation marker, can I achieve this objective if I remove the operation marker after surveilling that unit, as long as it is within the same turn? | A: Yes. | Q: For the Vital Link Primary Mission, if there is more than one central objective, can I score the cumulative VP for my operation markers regardless of which central objective(s) they are within? | A: Yes, as long as you control the objective(s) those operation markers are within."
Event Companion,PAIRINGS AND RANKINGS,,text,,"There are countless different ways in which a Warhammer Event can be run. While broad-stroke concepts like pairing off players with the same record are straightforward enough, the nuance of running a successful Warhammer tournament is the subject of continuous conversation and evolution. The following recommendations are followed at most official Games Workshop events, and are designed to create the fairest, most fun experience possible for every attendee, regardless of standing."
Event Companion,PAIRING PLAYERS,,text,,"While the first round of most tournaments is randomly paired, subsequent round pairing can be done in a number of ways. The first pairing metric will almost always be player record, e.g pairing a player with a win/loss record of 3-1 with another player with the same win/loss record, and so on. Given that most rounds will include numerous players with the same record, however, deciding pairings beyond this metric can be quite nuanced, and the different methods available can have significant impacts on the experience of players at an event. We recommend pairing players by the following criteria: | First – by record (i.e. the number of wins, losses and draws) | Second – by win path (i.e. the timing of the rounds in which a player won or lost their games) | Third – randomly within players of the same ranking"
Event Companion,RANKING PLAYERS,,text,,"In many tournaments, the overall Best General will be the single remaining undefeated player at the end of the event. Sometimes, however, there are not enough rounds available to determine a single undefeated player, and players often wish to know their ranking regardless of whether they won the whole event. To help break ties between players who end an event with the same record, we recommend ranking players by the following criteria: | First – by overall record (wins, losses and draws) | Second – by their opponents’ win records (i.e. those with more wins against opponents with better win records would place higher) | Third – by total Victory points (VP) | Designer’s Note: Traditionally, many organisers use total VP or VP differential to determine ranking. However, the number of VP scored within any one game of Warhammer 40,000 rarely tells a clear story about how close that game actually was. Often, a more challenging opponent will be harder to score against (and thus yield a lower score despite the victory being all the more hard-earned), or the nature of how the two armies match up may dictate a risky strategy that doesn’t pay off (and thus yield a wide score disparity despite almost working out). | As such, we do not recommend using VP as a pairing metric, nor as a ranking metric until all other metrics have been exhausted, or when further tie-breaking is required (e.g. in larger events where identical rankings become more likely). By contrast, opponent win record is an ideal metric, because when two players end up with the same record, the overall skill of their opponents is a better indicator of which player had the more challenging path along the way."
